,Open,High,Low,Close,Volume
2024-04-11,186.7400,189.7700,185.5100,189.0500,40020742
2024-04-10,182.7650,186.2699,182.6700,185.9500,35879151
2024-04-09,187.2400,187.3400,184.2000,185.6700,36337354
2024-04-08,186.9000,187.2900,184.8100,185.1900,38929087
2024-04-05,182.3800,186.2700,181.9700,185.0700,42072115
2024-04-04,184.0000,185.1000,180.0000,180.0000,41197087
2024-04-03,179.9000,182.8700,179.8000,182.4100,30368799
2024-04-02,179.0700,180.7900,178.3762,180.6900,31929759
2024-04-01,180.7900,183.0000,179.9500,180.9700,28374496
2024-03-28,180.1700,181.7000,179.2600,180.3800,38051588
2024-03-27,179.8800,180.0000,177.3099,179.8300,33272551
2024-03-26,180.1500,180.4500,177.9500,178.3000,29658982
2024-03-25,178.0100,180.9900,177.2400,179.7100,29815464
2024-03-22,177.7520,179.2550,176.7500,178.8700,27995378
2024-03-21,179.9880,181.4150,178.1500,178.1500,32824320
2024-03-20,176.1400,178.5300,174.6400,178.1500,29947150
2024-03-19,174.2150,176.0900,173.5200,175.9000,26880893
2024-03-18,175.8000,176.6900,174.2800,174.4800,31250688
2024-03-15,176.6400,177.9300,173.9000,174.4200,72147390
2024-03-14,177.6900,179.5300,176.4650,178.7500,43528139
2024-03-13,175.9000,177.6200,175.5500,176.5550,30596153
2024-03-12,173.5000,176.7600,171.9800,175.3900,35308322
2024-03-11,174.3100,174.4700,171.4700,171.9600,28285183
2024-03-08,176.4400,178.7850,174.3300,175.3500,37893242
2024-03-07,174.8300,177.9900,173.7200,176.8200,34063283
2024-03-06,175.5400,176.4600,173.2600,173.5100,32090926
2024-03-05,176.9300,176.9300,173.3030,174.1200,37228343
2024-03-04,177.5300,180.1400,177.4900,177.5800,37381520
2024-03-01,176.7500,178.7250,176.0700,178.2200,31981152
2024-02-29,173.0100,177.2200,172.8500,176.7600,53805359
2024-02-28,172.4400,174.0500,172.2700,173.1600,28180482
2024-02-27,174.0750,174.6200,172.8600,173.5400,31141732
2024-02-26,175.7000,176.3700,174.2600,174.7300,44368614
2024-02-23,174.2800,175.7500,173.7000,174.9900,59715243
2024-02-22,173.1000,174.8000,171.7700,174.5800,55392354
2024-02-21,168.9400,170.2300,167.1400,168.5900,44575623
2024-02-20,167.8300,168.7100,165.7400,167.0800,41980326
2024-02-16,168.7400,170.4200,167.1700,169.5100,48107744
2024-02-15,170.5800,171.1700,167.5900,169.8000,49855196
2024-02-14,169.2100,171.2100,168.2800,170.9800,42815544
2024-02-13,167.7300,170.9500,165.7500,168.6400,56345122
2024-02-12,174.8000,175.3900,171.5400,172.3400,51050440
2024-02-09,170.9000,175.0000,170.5803,174.4500,56985986
2024-02-08,169.6500,171.4300,168.8800,169.8400,42316454
2024-02-07,169.4800,170.8800,168.9400,170.5300,47174060
2024-02-06,169.3900,170.7100,167.6500,169.1500,42505518
